Participant,Trial,Time of first 5 consecutive on-target fixations (ms after epoch),Time of first 10 consecutive on-target fixations (ms after epoch),Time of 1st significant edit (ms after startup),Startup time (UTC ms after epoch),Time of 1st significant edit (ms after epoch),"Accuracy (0 = Not fixed, 1 = fixed)",TotalTime (s),Phase 1 Time (s),Phase 2 Time (s),Phase 3 Time (s),Recording start time (ms after epoch)
P401,2,1565187887032,1565187887032,1105487,1565187085142,1565188190629,1,1211.047,786.487,303.597,120.963,1565187100545
P402,1,1564669872630,1564669872630,319185,1564669711255,1564670030440,1,581.682,95.505,157.81,328.367,1564669777125
P402,2,1564668979342,1564668979342,514273,1564668801037,1564669315310,1,499.336,60.259,335.968,103.109,1564668919083
P403,1,1564760305809,1564760717840,738896,1564760257015,1564760995911,1,796.851,412.056,278.071,106.724,1564760305784
P403,2,1564759181217,1564759181217,643467,1564759041104,1564759684571,1,760.4,121.386,503.354,135.66,1564759059831
P404,1,1574111193228,1574111193228,584478,1574111142814,1574111727292,1,583.97,0.055,534.064,49.851,1574111193173
P404,2,1574109829558,1574109829558,670228,1574109570559,1574110240787,0,1226.791,240.019,411.229,575.543,1574109589539
P405,1,1574808800056,1574808800056,,1574807438036,,0,,,,,1574807673526
P405,2,1574806185287,1574806621391,1170637,1574805567800,1574806738437,0,1222.395,736.914,117.046,368.435,1574805884477
P406,1,1574206721582,1574206721582,768253,1574206679550,1574207447803,1,1017.355,0.668,726.221,290.466,1574206720914
P406,2,Not enough on-target fixations,Not enough on-target fixations,,1574205228951,,0,1033.827,1033.827,0,0,1574205438551
P407,1,,,,,,,,,,,
P407,2,,,,,,,,,,,
P408,1,Not enough on-target fixations,Not enough on-target fixations,,1575411906858,,0,1054.343,1054.343,0,0,1575412088578
P408,2,1575410681904,1575410681904,,1575410347772,,0,,,,,1575410538299
P409,1,1576101728822,1576101728822,223573,1576101645875,1576101869448,1,355.199,0.008,140.626,214.565,1576101728814
P409,2,1576100679476,1576100679476,,1576100389614,,0,934.905,182.261,752.644,0,1576100497215
